0400.603.268	-
0400.603.367	-
0400.603.466	14200 - Manufacture of articles of fur
0400.603.763	-
0400.605.446	46240 - Wholesale of hides, skins and leather
0202.718.122	-
0203.375.148	84119 - Other general public administration activities
0206.507.555	-
0206.694.528	-
0206.731.546	-
0206.731.744	-
0206.732.338	-
0206.734.219	-
0206.734.417	-
0206.734.516	-
0206.735.011	-
0206.735.506	-
0206.735.803	-
0206.737.088	-
0206.738.375	-
0207.543.574	-
0207.577.228	-
0209.331.245	-
0211.122.082	-
0211.222.250	-
